,0,1,2
0,1.0,1175.0,0.0
1,1.0,1237.0,0.0
2,1.0,1653.0,0.0
3,1.0,2351.0,0.0
4,1.0,7361.0,0.0
5,1.0,7937.0,0.0
6,1.0,8360.0,0.0
7,1.0,8685.0,0.0
8,2.0,150.0,0.0
9,2.0,260.0,0.0
10,2.0,534.0,0.0
11,2.0,588.0,0.0
12,2.0,653.0,0.0
13,2.0,1080.0,0.0
14,2.0,1201.0,0.0
15,2.0,1270.0,0.0
16,2.0,1271.0,0.0
17,2.0,1485.0,0.0
18,2.0,1580.0,0.0
19,2.0,1672.0,0.0
20,2.0,1873.0,0.0
21,2.0,3360.0,0.0
22,2.0,3396.0,0.0
23,2.0,3479.0,0.0
24,2.0,4886.0,0.0
25,2.0,4963.0,0.0
26,2.0,6156.0,0.0
27,2.0,7075.0,0.0
28,2.0,7143.0,0.0
29,2.0,8665.0,0.0
30,3.0,111.0,0.0
31,3.0,527.0,0.0
32,3.0,541.0,0.0
33,3.0,741.0,0.0
34,3.0,912.0,0.0
35,3.0,1960.0,0.0
36,3.0,2858.0,0.0
37,3.0,3156.0,0.0
38,3.0,3534.0,0.0
39,3.0,3827.0,0.0
40,3.0,3863.0,0.0
41,3.0,3948.0,0.0
42,3.0,3996.0,0.0
43,3.0,4886.0,0.0
44,3.0,4901.0,0.0
45,3.0,5004.0,0.0
46,3.0,5400.0,0.0
47,3.0,5528.0,0.0
48,3.0,5630.0,0.0
49,3.0,6550.0,0.0
50,3.0,6754.0,0.0
51,3.0,6863.0,0.0
52,3.0,7293.0,0.0
53,3.0,7347.0,0.0
54,3.0,8529.0,0.0
55,3.0,27773.0,0.0
56,3.0,30707.0,0.0
57,3.0,31184.0,0.0
58,3.0,33679.0,0.0
59,3.0,34150.0,0.0
60,3.0,37386.0,0.0
61,3.0,39435.0,0.0
62,3.0,41569.0,0.0
63,3.0,43928.0,0.0
64,3.0,45499.0,0.0
65,3.0,46965.0,0.0
66,3.0,47610.0,0.0
67,3.0,49272.0,0.0
68,3.0,50068.0,0.0
69,3.0,53125.0,0.0
70,3.0,54503.0,0.0
71,3.0,55805.0,0.0
72,3.0,57669.0,0.0
73,3.0,59615.0,0.0
74,3.0,61248.0,0.0
75,3.0,61350.0,0.0
76,3.0,62849.0,0.0
77,3.0,68358.0,0.0
78,3.0,68791.0,0.0
79,3.0,71156.0,0.0
80,3.0,72641.0,0.0
