,userId,movieId,rating,timestamp
520,3,8528,3.0,1484753681
7383,59,29,3.5,1111476250
997,4,44193,3.0,1573940754
1365,8,524,4.0,890492967
3172,18,4643,2.5,1108275256
13080,98,31193,5.0,1450047290
9191,72,541,4.0,980557928
8859,70,527,4.5,1255209580
1164,5,141,5.0,858625837
12149,89,1408,2.0,1266621661
8638,67,3489,2.0,975662161
1334,8,201,1.0,890489591
8122,62,1090,4.0,1149193895
11578,84,6242,2.0,1481830110
11383,82,46723,4.0,1437243422
2055,12,2193,4.0,1060010808
10237,75,6979,3.0,1537217785
6540,47,25,5.0,855093790
9717,72,3054,1.0,980646453
2713,13,37830,3.5,1278600298
1646,10,356,4.5,1227571313
11856,86,377,4.0,945668920
12693,95,593,4.5,1510351229
10305,75,63082,4.0,1537208479
1380,8,733,4.0,890489454
986,4,7569,3.5,1573943431
4036,23,1300,5.0,942968860
1538,9,954,4.0,859385456
2480,13,455,1.5,1237969582
231,2,7162,0.5,1141417617
149,2,2194,5.0,1141415685
9901,73,708,4.0,857829824
8254,62,48161,4.0,1180309717
2547,13,2329,4.0,1237970926
6106,43,3793,3.5,1169596578
12858,95,107130,3.0,1511480583
10784,80,367,2.0,993230630
6032,43,2137,3.5,1170849681
2819,13,72489,2.5,1297908294
858,3,120466,3.5,1439474805
3239,19,1201,4.0,1445874329
6005,43,1676,2.5,1170494355
4868,31,6953,2.0,1256225703
5418,38,7445,3.5,1417644367
7172,57,32587,4.5,1142399599
8140,62,2427,4.5,1229437472
5690,41,1196,4.0,944572059
2211,12,3608,4.0,963590948
8666,68,7323,4.5,1472117359
11699,84,81385,4.0,1481829282
1783,12,344,2.5,1119355123
6915,56,4993,4.5,1166775526
12536,93,4973,5.0,1496529239
3144,18,2706,4.0,1108273884
10373,75,103980,3.0,1537219258
9234,72,832,4.0,980797284
9330,72,1250,4.0,983309646
8425,65,135141,4.0,1473433249
11488,84,1080,3.5,1481828734
4143,23,2294,2.0,942968374
11289,82,1674,4.0,1437242710
6212,43,25752,3.5,1169595805
3995,23,1131,3.0,944185941
10255,75,34072,3.0,1537218637
8195,62,8376,3.0,1229438014
8356,64,480,4.0,1434644420
9421,72,1633,3.0,981488744
12324,91,59018,3.5,1406145325
2000,12,1721,4.0,1167582218
4703,31,2002,2.5,1256225419
503,3,7163,3.5,1439473766
10712,79,296,5.0,828708507
9886,73,62,4.0,857829766
3004,17,89745,3.5,1485581622
5868,43,58,3.0,1170848924
12755,95,4262,4.5,1510325396
1541,9,971,3.0,859385601
1409,8,1207,2.0,890489481
4576,31,141,3.5,1256230108
2558,13,2716,4.5,1276166778
8226,62,37853,3.5,1180310422
719,3,76251,4.0,1566089828
1568,9,1097,4.0,859383859
7722,59,8010,3.5,1111477120
2992,17,47099,3.0,1485581501
5221,37,1213,5.0,1456485631
11337,82,5618,2.5,1437242900
1971,12,1499,1.0,940800970
6823,54,1219,4.0,1134594552
1278,6,2858,5.0,945142872
3021,18,11,4.0,1108273734
1434,8,1479,3.0,890511034
3911,23,356,5.0,942966812
5942,43,1097,4.0,1170491778
2201,12,3480,4.0,1167582354
4128,23,2150,4.0,942966121
3536,19,87306,3.5,1446298811
3243,19,1214,5.0,1445874387
3256,19,1527,3.5,1445286484
9982,75,527,4.0,1537207610
13286,100,1365,3.0,862169335
8812,69,33493,5.0,1242591508
8519,67,19,3.0,975662626
9244,72,904,4.0,980557192
705,3,72011,4.0,1439473373
9769,72,3334,4.0,980641736
3215,19,364,2.0,1450544685
11510,84,1527,2.5,1481638407
2116,12,2718,3.0,1119354925
11595,84,7438,3.0,1481638192
11740,84,112183,3.5,1481830502
9635,72,2558,2.0,980651967
12592,93,70286,3.0,1496543058
9315,72,1213,4.0,980652423
7123,57,6711,5.0,1204483161
3226,19,745,3.5,1445874513
12574,93,46948,4.5,1496530051
2118,12,2739,4.0,1060010763
1752,12,186,2.5,1137231107
4329,25,454,3.0,836217059
7600,59,3524,3.0,1111567439
8822,69,51255,4.5,1242578220
10871,80,1214,2.0,993231460
6008,43,1704,4.5,1170491977
12292,91,4995,4.5,1385509913
7014,57,2431,4.0,1142441141
12457,92,2529,3.0,1150129034
9061,71,86911,3.0,1482966589
10702,79,50,5.0,828708508
13199,99,1281,5.0,1511722046
6155,43,5816,2.5,1170491904
6679,50,1608,3.5,1402505595
2838,13,78637,3.0,1278471555
11291,82,1747,2.0,1437242008
1270,6,1213,5.0,945142949
3395,19,8607,5.0,1445874509
637,3,56156,3.0,1566091337
2269,12,4386,1.0,1137228664
10285,75,53123,3.5,1537218731
3718,20,4993,5.0,1062003995
8856,70,480,3.5,1255209196
12646,94,292,4.0,845105574
5789,41,2529,2.0,944572335
8735,69,1580,0.5,1242591490
12055,89,141,3.5,1266620422
4623,31,648,3.0,1256229356
7296,58,1019,5.0,1337180949
9318,72,1220,5.0,980642275
3321,19,4446,2.5,1445874991
2393,12,40952,2.5,1167573964
587,3,45186,3.5,1453904145
12513,93,1251,5.0,1496541431
3242,19,1210,4.0,1445286427
5683,41,940,4.0,944572121
9792,72,3500,2.0,980798121
3466,19,50583,3.5,1451251031
1436,8,1527,4.0,890510935
4390,27,527,4.0,974256577
10830,80,662,3.0,993325633
11024,80,2490,5.0,993231707
10412,76,481,2.0,1191101821
12618,93,116855,5.0,1496547436
6403,46,969,5.0,1248364745
7302,58,1198,4.5,1337200091
6449,46,2795,4.0,1248365460
9165,72,451,3.0,980801572
7529,59,2010,3.0,1111475875
383,3,4340,2.0,1439474202
561,3,33615,4.0,1566089987
10743,80,95,2.0,993231953
4974,32,318,5.0,839020349
2408,12,48394,4.0,1209114941
387,3,4367,3.0,1439472920
3886,23,150,5.0,942964991
10461,76,3429,4.0,1289441555
9957,75,292,3.5,1537348607
10915,80,1580,3.0,993231079
2173,12,3254,2.0,1119355653
6380,46,223,3.0,1248367140
13190,99,1219,3.0,1511720946
10793,80,407,4.0,993325738
10200,75,4299,2.0,1537257573
2041,12,2084,1.0,940785762
6122,43,4246,3.5,1170494217
434,3,5459,3.5,1439475011
9037,71,480,5.0,1482966662
10731,80,32,5.0,993326486
1410,8,1210,3.0,890490044
12484,92,5445,4.0,1150129415
11053,80,2722,3.0,993231832
9200,72,586,3.0,980651719
10333,75,80860,3.5,1537344227
6241,43,41569,3.0,1170492627
3368,19,6660,4.5,1445785805
11292,82,1900,3.5,1437242989
4229,23,3108,5.0,945754232
